symbol,type,strike,expiration,alert_time,entry_price,size,premium,polygon_ticker,samples,peak_price,peak_time,peak_return_pct,minutes_to_peak,hit_15_pct,hit_20_pct,hit_25_pct
SLV,C,50.0,2025-12-05,2025-11-26T15:41:00-05:00,0.58,19169,1112000,O:SLV251205C00050000,380.0,3.7,2025-12-01T11:46:00-05:00,537.9310344827587,6965.0,True,True,True
SLV,C,50.5,2025-12-05,2025-11-26T15:41:00-05:00,0.46,10439,480000,O:SLV251205C00050500,202.0,3.15,2025-12-01T11:44:00-05:00,584.7826086956521,6963.0,True,True,True
SLV,C,49.0,2025-12-05,2025-11-26T15:41:00-05:00,0.91,4370,398000,O:SLV251205C00049000,188.0,4.42,2025-12-01T11:45:00-05:00,385.71428571428567,6964.0,True,True,True
FXI,P,39.5,2025-12-12,2025-12-01T14:53:00-05:00,0.51,5000,255000,O:FXI251212P00039500,6.0,0.58,2025-12-02T09:41:00-05:00,13.725490196078422,1128.0,False,False,False
INTC,C,46.0,2025-12-05,2025-12-02T10:54:00-05:00,0.64,4353,279000,O:INTC251205C00046000,186.0,0.54,2025-12-02T10:57:00-05:00,-15.624999999999996,3.0,False,False,False
IWM,P,240.0,2025-12-10,2025-12-02T11:24:00-05:00,0.97,4351,422000,O:IWM251210P00240000,19.0,1.29,2025-12-02T11:28:00-05:00,32.98969072164949,4.0,True,True,True
RIVN,C,18.0,2025-12-05,2025-12-02T11:31:00-05:00,0.18,24340,438000,O:RIVN251205C00018000,194.0,0.48,2025-12-02T12:19:00-05:00,166.66666666666669,48.0,True,True,True
PINS,C,27.5,2025-12-05,2025-12-02T11:45:00-05:00,0.2,11997,240000,O:PINS251205C00027500,120.0,0.26,2025-12-02T12:32:00-05:00,30.0,47.0,True,True,True
SOFI,C,31.0,2025-12-12,2025-12-02T11:46:00-05:00,0.87,5000,435000,O:SOFI251212C00031000,205.0,1.11,2025-12-02T12:26:00-05:00,27.586206896551737,40.0,True,True,True
MRNA,P,23.5,2025-12-12,2025-12-02T11:58:00-05:00,0.76,2742,208000,O:MRNA251212P00023500,8.0,0.7,2025-12-02T12:27:00-05:00,-7.89473684210527,29.0,False,False,False
SLV,C,55.0,2025-12-05,2025-12-02T11:58:00-05:00,0.26,10496,273000,O:SLV251205C00055000,87.0,0.41,2025-12-02T15:43:00-05:00,57.69230769230768,225.0,True,True,True
IWM,P,241.0,2025-12-09,2025-12-02T12:16:00-05:00,0.95,2532,241000,O:IWM251209P00241000,7.0,0.77,2025-12-02T12:53:00-05:00,-18.947368421052627,37.0,False,False,False
NVDA,C,197.5,2025-12-12,2025-12-02T12:16:00-05:00,0.62,4451,276000,O:NVDA251212C00197500,100.0,0.68,2025-12-02T12:32:00-05:00,9.677419354838717,16.0,False,False,False
RIVN,P,17.0,2025-12-05,2025-12-02T12:48:00-05:00,0.32,7786,249000,O:RIVN251205P00017000,71.0,0.36,2025-12-02T13:10:00-05:00,12.499999999999993,22.0,False,False,False
NVDA,C,197.5,2025-12-12,2025-12-02T13:36:00-05:00,0.6,4675,280000,O:NVDA251212C00197500,59.0,0.6,2025-12-02T13:36:00-05:00,0.0,0.0,False,False,False
SGML,C,11.0,2025-12-19,2025-12-02T13:52:00-05:00,0.9,3648,328000,O:SGML251219C00011000,19.0,0.95,2025-12-02T14:08:00-05:00,5.555555555555548,16.0,False,False,False
SLV,C,56.0,2025-12-12,2025-12-02T15:57:00-05:00,0.81,3532,286000,O:SLV251212C00056000,3.0,0.83,2025-12-02T15:57:00-05:00,2.469135802469124,0.0,False,False,False
