date,bot,symbol,ticker,signal_type,strike,expiration,dte,price,volume,premium,P,V,G,regime,would_fire,filter_reason,conviction_mult
2025-12-03,Bullseye Bot,AAPL,O:AAPL251219C00250000,CALL,250.0,2025-12-19,16,36.18,742,2684556.0,0.24115332048629154,-0.0026253552233729306,0.65,NEUTRAL,True,PASSED,1.0723459961458874
2025-12-03,Bullseye Bot,AAPL,O:AAPL251219C00260000,CALL,260.0,2025-12-19,16,26.400000000000002,693,1829520.0,0.24115332048629154,-0.0026253552233729306,0.65,NEUTRAL,True,PASSED,1.0723459961458874
2025-12-03,Bullseye Bot,AAPL,O:AAPL251219C00265000,CALL,265.0,2025-12-19,16,21.620000000000005,663,1433406.0000000002,0.24115332048629154,-0.0026253552233729306,0.65,NEUTRAL,True,PASSED,1.0723459961458874
2025-12-03,Bullseye Bot,AAPL,O:AAPL251219C00270000,CALL,270.0,2025-12-19,16,17.013333333333332,1036,1762581.3333333333,0.24115332048629154,-0.0026253552233729306,0.65,NEUTRAL,True,PASSED,1.0723459961458874
2025-12-03,Bullseye Bot,AAPL,O:AAPL251219C00275000,CALL,275.0,2025-12-19,16,12.576666666666668,1498,1883984.6666666667,0.24115332048629154,-0.0026253552233729306,0.65,NEUTRAL,True,PASSED,1.0723459961458874
2025-12-03,Bullseye Bot,AAPL,O:AAPL251219C00280000,CALL,280.0,2025-12-19,16,8.813333333333334,4171,3676041.333333334,0.24115332048629154,-0.0026253552233729306,0.65,NEUTRAL,True,PASSED,1.0723459961458874
2025-12-03,Bullseye Bot,AAPL,O:AAPL251219C00285000,CALL,285.0,2025-12-19,16,5.6000000000000005,5409,3029040.0,0.24115332048629154,-0.0026253552233729306,0.65,NEUTRAL,True,PASSED,1.0723459961458874
2025-12-03,Bullseye Bot,AAPL,O:AAPL251219C00287500,CALL,287.5,2025-12-19,16,4.3,3766,1619380.0,0.24115332048629154,-0.0026253552233729306,0.65,NEUTRAL,True,PASSED,1.0723459961458874
2025-12-03,Bullseye Bot,AAPL,O:AAPL251219C00290000,CALL,290.0,2025-12-19,16,3.2099999999999995,6515,2091314.9999999998,0.24115332048629154,-0.0026253552233729306,0.65,NEUTRAL,True,PASSED,1.0723459961458874
2025-12-03,Bullseye Bot,AAPL,O:AAPL251219C00292500,CALL,292.5,2025-12-19,16,2.3433333333333333,1454,340720.6666666666,0.24115332048629154,-0.0026253552233729306,0.65,NEUTRAL,True,PASSED,1.0723459961458874
